x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89617.8113284086,43147.619421973366,0.0,0.0,0.0,0.8797409939009702,0.47545324023518143,11.11111111111111
89616.32125567556,43149.894561170986,0.0,0.0,0.0,0.8914496649248987,0.45311973572697734,11.11111111111111
89614.47495677747,43152.42535904997,0.0,0.0,0.0,0.8477811388710834,0.5303462459322671,11.11111111111111
89613.6230797001,43154.176439708994,0.0,0.0,0.0,0.834459296830594,0.5510695799379516,11.11111111111111
89611.82840432368,43158.38010207101,0.0,0.0,0.0,0.6864566404183281,0.727170737052573,11.11111111111111
89612.0560573203,43162.32897465237,0.0,0.0,0.0,0.4602530371881928,0.8877877796855755,11.1111111111111
89614.05582888455,43165.1645536796,0.0,0.0,0.0,0.16332497351853803,0.9865723252885056,11.1111111111111
89617.51762424281,43166.343037205814,0.0,0.0,0.0,-0.1665881197649601,0.9860265708149935,11.1111111111111
89620.90576438069,43165.1645536796,0.0,0.0,0.0,-0.32235267205606166,0.9466196463302022,11.1111111111111
89623.22328294418,43163.37914559484,0.0,0.0,0.0,-0.5307435656312667,0.8475324581047085,11.111111111111102
89624.33787225992,43161.08257499025,0.0,0.0,0.0,-0.5307435656294298,0.8475324581058586,11.111111111111102
89625.36133591618,43158.9737654811,0.0,0.0,0.0,-0.5307435656324734,0.8475324581039527,11.111111111111102
89626.09431585987,43157.46348705957,0.0,0.0,0.0,-0.5307435656299286,0.8475324581055463,11.111111111111102
89626.77500139554,43156.06095935712,0.0,0.0,0.0,-0.5307435656287083,0.8475324581063106,11.111111111111102
89627.67396429802,43154.20867910709,0.0,0.0,0.0,-0.5307435656310534,0.8475324581048419,11.111111111111102
89628.58095614323,43152.339855513615,0.0,0.0,0.0,-0.5307435656307943,0.8475324581050042,11.111111111111102
89629.33556049295,43150.7850207927,0.0,0.0,0.0,-0.530743565630063,0.8475324581054622,11.111111111111102
89629.92209443868,43149.57648900497,0.0,0.0,0.0,-0.5307435656305082,0.8475324581051834,11.111111111111102
89630.66658240046,43148.04249873218,0.0,0.0,0.0,-0.5307435656304362,0.8475324581052285,11.111111111111102
89631.17325603461,43146.99851620168,0.0,0.0,0.0,-0.5307435656308392,0.8475324581049761,11.111111111111102
89632.25913048684,43144.761111525324,0.0,0.0,0.0,-0.5307435656309573,0.8475324581049022,11.111111111111102
89632.84775187778,43143.54827863291,0.0,0.0,0.0,-0.5307435656309994,0.8475324581048758,10.277777777777777
89633.47228895314,43142.2614427836,0.0,0.0,0.0,-0.5307435656289948,0.8475324581061311,10.277777777777777
89634.01557408679,43141.14202359465,0.0,0.0,0.0,-0.5307435656300274,0.8475324581054845,10.277777777777777
89634.65092336517,43139.83290959565,0.0,0.0,0.0,-0.5326620377072034,0.8463280413560748,10.277777777777777
89635.31730083573,43138.44387780466,0.0,0.0,0.0,-0.5257311121174247,0.850650808353096,10.277777777777777
89636.04168590168,43136.99510767276,0.0,0.0,0.0,-0.4035657542328355,0.9149506445762431,8.333333333333334
89637.3093597671,43135.60670296302,0.0,0.0,0.0,-0.024976600270907024,0.9996880360587034,8.333333333333334
89639.7239766536,43135.485972118695,0.0,0.0,0.0,0.13671022795176482,0.9906110808856201,8.333333333333334
89642.08688729073,43136.15082616862,0.0,0.0,0.0,0.22120779638591379,0.9752266971417918,10.555555555555555
89643.55495864848,43136.85294725276,0.0,0.0,0.0,0.30826764220279707,0.9512996692792068,11.11111111111111
89644.48048189576,43137.52315374217,0.0,0.0,0.0,0.45071790990893806,0.892666435846738,10.555555555555555
89645.33796091472,43138.685339493306,0.0,0.0,0.0,0.5019268181972429,0.8649100931162682,10.555555555555555
89645.82088429201,43139.53045540358,0.0,0.0,0.0,0.6407474392450271,0.7677517301191449,10.555555555555555
89646.06234598067,43140.85849469116,0.0,0.0,0.0,0.6463748961297815,0.7630199824730767,10.555555555555555
89646.24344224716,43141.94507229009,0.0,0.0,0.0,0.7229825934692848,0.6908662457671721,10.555555555555555
89646.183076825,43143.27311157766,0.0,0.0,0.0,0.750989792750762,0.6603138126558974,10.555555555555555
89645.94161513634,43145.1444396647,0.0,0.0,0.0,0.8174155604689495,0.576048436768327,10.555555555555555
89645.33796091472,43146.83467148525,0.0,0.0,0.0,0.8341197868369084,0.5515833402190014,10.555555555555555
89644.63215788502,43148.493526393366,0.0,0.0,0.0,0.8871286053959575,0.4615223044319999,10.555555555555555
