default,0,2,4,10,18,25
0,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
4.782969,5.2612659,5.78739249,6.366131739,8.473321344609,9.3206534790699,8.473321344609
5.31441,5.845851,6.4304361,7.07347971,9.41480149401,10.356281643411,9.41480149401
5.9049,6.49539,7.144929,7.8594219,10.4608905489,11.50697960379,10.4608905489
6.561,7.2171,7.93881,8.732691,11.623211721,12.7855328931,11.623211721
7.29,8.019,8.8209,9.70299,12.91467969,14.206147659,12.91467969
8.1,8.91,9.801,10.7811,14.3496441,15.78460851,14.3496441
9,9.9,10.89,11.979,15.944049,17.5384539,15.944049
10,11,12.1,13.31,17.71561,19.487171,17.71561
